Epoch,Loss_Train,Loss_Validation,Interclass_variance_Train,Interclass_variance_Validation,Calinsky-Harabasz_Train,Calinsky-Harabasz_Validate,HI_weight,I_weight,S_weight,Band4
0,-9.11558,-10.330398,2.814552676067251,0.23753180123094353,126629.0,229069.1,0.5,0.5,0.5,0.5
1,-9.864598,-10.475406,2.9649164349589228,0.2384338043484604,135663.81,231641.2,0.5,0.5,0.5,0.5
2,-9.902351,-10.326106,2.969645309442825,0.20670762887311867,133714.39,181547.78,0.5,0.5,0.5,0.5
3,-9.937777,-10.09107,2.913314159191941,0.21473257044999627,132346.36,186935.5,0.5,0.5,0.5,0.5
4,-9.994478,-9.814724,2.955414303465659,0.20574950380250812,130170.29,186537.12,0.5,0.5,0.5,0.5
5,-10.031325,-10.012745,3.1800033006165904,0.184933987329714,146106.78,166014.4,0.5,0.5,0.5,0.5
6,-10.057061,-10.34222,3.137047504064185,0.13683981511348975,139192.44,95311.164,0.5,0.5,0.5,0.5
7,-10.133522,-10.600491,3.1981389625179872,0.13589848490664735,144191.94,107832.11,0.5,0.5,0.5,0.5
8,-10.069257,-10.156424,3.1786106446124904,0.1346084941760637,144404.6,111932.67,0.5,0.5,0.5,0.5
9,-10.079998,-10.268333,3.217009284056985,0.21838141729676863,144079.77,198046.53,0.5,0.5,0.5,0.5
10,-10.110638,-10.069114,3.2351976266454585,0.2129333349002991,144078.89,193169.55,0.5,0.5,0.5,0.5
11,-10.167309,-10.18186,3.211869761638809,0.18526158421082073,145476.94,163263.11,0.5,0.5,0.5,0.5
12,-10.152901,-10.04015,3.254433717149368,0.14329414813255426,146692.58,109283.44,0.5,0.5,0.5,0.5
13,-10.160689,-9.471289,3.3206645863776316,0.15217920140275965,149246.73,118045.516,0.5,0.5,0.5,0.5
14,-10.2385435,-10.377007,3.5877161175176298,0.2261181286739884,163589.44,208442.2,0.5,0.5,0.5,0.5
15,-10.419635,-10.333605,4.028977011856114,0.20730636676307768,193765.9,181974.48,0.5,0.5,0.5,0.5
16,-10.420831,-10.354193,4.089586521342426,0.22276440542918863,198214.28,203980.1,0.5,0.5,0.5,0.5
17,-10.462478,-10.459827,4.084437530396826,0.2195987833001709,198083.28,198023.33,0.5,0.5,0.5,0.5
18,-10.457885,-10.444563,4.067240812415548,0.22396881284657866,196747.62,205676.69,0.5,0.5,0.5,0.5
19,-10.431667,-10.407511,4.071105193535914,0.21840279389653006,196374.8,200088.03,0.5,0.5,0.5,0.5
20,-10.926212,-11.456119,5.806338780297665,0.3894051746465266,291189.56,304302.8,0.7193142175674438,0.23718969523906708,0.2046501487493515,0.7032455801963806
21,-11.807411,-11.8824,9.108561263114098,0.5341075016185641,367494.1,387868.06,0.8237951397895813,0.10000000149011612,0.10000000149011612,0.7857754826545715
22,-11.919337,-11.914245,9.8456201464287,0.5404363153502345,392489.9,388700.6,0.8864692449569702,0.10000000149011612,0.10000000149011612,0.8172193169593811
23,-11.931621,-11.926145,9.919396948534995,0.543634389527142,392588.8,391229.25,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8518185615539551
24,-11.938252,-11.919276,9.921547041318263,0.5422443365678191,392495.28,388898.28,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.887071430683136
25,-11.937865,-11.922667,8.865494429068349,0.4464203406969318,309056.25,249767.92,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
26,-11.943373,-11.930333,8.063155347153952,0.4456895053299377,245571.31,249057.1,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
27,-11.940432,-11.921602,8.058860617493337,0.44561903028807137,245184.84,248836.1,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
28,-11.943327,-11.9297,8.066887646687974,0.44536015660560224,245518.69,248330.34,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
29,-11.939986,-11.926573,8.062184496309783,0.4451757016504416,245512.08,248399.42,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
30,-11.939475,-11.93482,8.057192172876967,0.446113683632575,245054.94,249109.0,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
31,-11.939917,-11.939413,8.063960256731662,0.44574722030665725,245323.14,248890.88,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
32,-11.941491,-11.926561,8.058721389475977,0.44473607967665885,245218.6,247544.05,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
33,-11.940745,-11.928444,8.058944888529368,0.44571723499393556,245193.23,249130.58,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
34,-11.941356,-11.921312,8.05781460372964,0.446526764324517,245139.56,250114.05,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
35,-11.941809,-11.9249,8.067633977771038,0.4459201068530092,245650.06,249178.9,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
36,-11.942769,-11.931,8.063393842727237,0.4463281756034121,245500.2,249592.53,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
37,-11.936759,-11.928545,8.06042709024041,0.4451875904487679,245261.66,248499.38,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
38,-11.946625,-11.92566,8.07517645205371,0.44673000219336245,246280.28,250274.3,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
39,-11.949048,-11.927319,8.08429137229541,0.4467702697875211,246840.16,250316.2,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
40,-11.948945,-11.92796,8.08429042447824,0.44682231488695834,246839.31,250370.22,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
41,-11.948962,-11.927559,8.084288931670017,0.4467901442112634,246839.52,250331.9,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
42,-11.9490795,-11.927843,8.084353563855984,0.4468078509817133,246844.0,250351.97,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
43,-11.949164,-11.9277525,8.08425995525613,0.4468064637767384,246835.58,250353.83,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
44,-11.949602,-11.928106,8.084500538185239,0.446824928643764,246856.55,250372.6,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
45,-11.94958,-11.927989,8.08465614974557,0.4468206212768564,246864.78,250368.12,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
46,-11.949587,-11.927969,8.084595717096818,0.44682153676694725,246861.22,250369.5,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
47,-11.949567,-11.92805,8.084607037395472,0.44681816072261427,246861.8,250366.42,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
48,-11.949598,-11.92804,8.084623690418084,0.44682071813440416,246862.31,250368.42,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
49,-11.949583,-11.928018,8.084644003611174,0.4468206911260495,246863.84,250368.5,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
50,-11.949594,-11.928034,8.084646549315949,0.446817664327682,246864.36,250365.78,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
51,-11.94964,-11.927944,8.084623949369416,0.44681907062476967,246862.5,250366.47,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
52,-11.949589,-11.928009,8.084590335958637,0.44681617328024004,246860.48,250363.88,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
53,-11.949567,-11.928045,8.084621420108306,0.44682158426439855,246862.28,250369.67,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
54,-11.949601,-11.928058,8.084594653890235,0.4468219353730092,246861.06,250369.8,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
55,-11.949577,-11.928036,8.084617677151982,0.4468180787662277,246862.0,250366.95,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
56,-11.94963,-11.92801,8.084637941457913,0.44681849879270885,246863.28,250367.9,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
57,-11.949594,-11.927967,8.084635420294944,0.44681600843614433,246863.14,250364.22,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
58,-11.949628,-11.92808,8.084660998087202,0.44681955211854074,246864.8,250368.55,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
59,-11.949595,-11.92803,8.08461559763964,0.446822345154942,246862.14,250370.66,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
60,-11.949583,-11.92808,8.084629202450742,0.4468170589680085,246862.95,250365.25,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
61,-11.949587,-11.927988,8.084605352269136,0.446821289966465,246861.44,250369.88,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
62,-11.949554,-11.927977,8.084652093457407,0.44681559306627605,246863.86,250363.88,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
63,-11.949586,-11.928116,8.084612079015642,0.4468303684989223,246862.44,250378.78,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
64,-11.949523,-11.927966,8.084620745197753,0.4468154291535029,246861.95,250363.75,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
65,-11.949594,-11.9279785,8.084623042668682,0.44681070269143675,246862.64,250358.6,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
66,-11.949574,-11.928106,8.084633489233966,0.44682617847865913,246863.48,250375.05,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
67,-11.949566,-11.9280205,8.08460425362864,0.44682205830758903,246861.52,250370.4,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
68,-11.949603,-11.928118,8.084650711112772,0.4468196713278303,246863.44,250369.66,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
69,-11.949604,-11.927992,8.08463466973626,0.4468220406124601,246863.4,250369.95,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
70,-11.949601,-11.928038,8.084653486483148,0.44682090998685453,246864.36,250369.05,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
71,-11.949583,-11.928113,8.084644466820464,0.44682345249748323,246864.02,250371.97,0.8999999761581421,0.10000000149011612,0.10000000149011612,0.8999999761581421
